category_weight_id,country_id,dimension_id,sub_dimension_id,category_id,category_weight_grazing,category_weight_grazing_prcnt,category_weight_mixed,category_weight_mixed_prcnt,status
1,1,1,1,1,1,,1,,1
2,1,1,1,2,1,,1,,1
3,1,2,2,3,1,,1,,1
4,1,2,2,4,1,,1,,1
5,1,2,2,5,1,,1,,1
6,1,2,2,6,1,,1,,1
7,1,2,3,7,2,,2,,1
8,1,2,3,8,2,,1,,1
9,1,2,3,9,2,,1,,1
10,1,3,4,10,1,,1,,1
11,1,3,4,11,1,,1,,1
12,1,3,4,12,1,,1,,1
13,1,3,4,13,1,,1,,1
14,1,3,4,14,1,,1,,1
15,1,3,4,15,1,,1,,1
16,1,3,5,16,1,,1,,1
17,1,3,5,17,1,,1,,1
18,1,3,5,18,1,,1,,1
19,1,3,5,19,1,,1,,1
20,1,3,5,20,1,,1,,1
21,1,3,6,21,1,,1,,1
22,1,3,6,22,1,,1,,1
23,1,3,6,23,1,,1,,1
24,1,3,6,24,1,,1,,1
25,1,3,6,25,1,,1,,1
26,1,3,7,26,2,,2,,1
27,1,3,7,27,2,,2,,1
28,1,3,7,28,2,,2,,1
29,1,3,7,29,2,,2,,1
30,1,3,7,30,2,,1,,1
31,1,3,7,31,1,,1,,1
32,2,1,1,1,1,,1,,1
33,2,1,1,2,1,,1,,1
34,2,2,2,3,1,,1,,1
35,2,2,2,4,1,,1,,1
36,2,2,2,5,1,,1,,1
37,2,2,2,6,1,,1,,1
38,2,2,3,7,2,,2,,1
39,2,2,3,8,2,,1,,1
40,2,2,3,9,2,,1,,1
41,2,3,4,10,1,,1,,1
42,2,3,4,11,1,,1,,1
43,2,3,4,12,1,,1,,1
44,2,3,4,13,1,,1,,1
45,2,3,4,14,1,,1,,1
46,2,3,4,15,1,,1,,1
47,2,3,5,16,1,,1,,1
48,2,3,5,17,1,,1,,1
49,2,3,5,18,1,,1,,1
50,2,3,5,19,1,,1,,1
51,2,3,5,20,1,,1,,1
52,2,3,6,21,1,,1,,1
53,2,3,6,22,1,,1,,1
54,2,3,6,23,1,,1,,1
55,2,3,6,24,1,,1,,1
56,2,3,6,25,1,,1,,1
57,2,3,7,26,2,,2,,1
58,2,3,7,27,2,,2,,1
59,2,3,7,28,2,,2,,1
60,2,3,7,29,2,,2,,1
61,2,3,7,30,2,,1,,1
62,2,3,7,31,1,,1,,1
63,3,1,1,1,1,,1,,1
64,3,1,1,2,1,,1,,1
65,3,2,2,3,1,,1,,1
66,3,2,2,4,1,,1,,1
67,3,2,2,5,1,,1,,1
68,3,2,2,6,1,,1,,1
69,3,2,3,7,2,,2,,1
70,3,2,3,8,2,,1,,1
71,3,2,3,9,2,,1,,1
72,3,3,4,10,1,,1,,1
73,3,3,4,11,1,,1,,1
74,3,3,4,12,1,,1,,1
75,3,3,4,13,1,,1,,1
76,3,3,4,14,1,,1,,1
77,3,3,4,15,1,,1,,1
78,3,3,5,16,1,,1,,1
79,3,3,5,17,1,,1,,1
80,3,3,5,18,1,,1,,1
81,3,3,5,19,1,,1,,1
82,3,3,5,20,1,,1,,1
83,3,3,6,21,1,,1,,1
84,3,3,6,22,1,,1,,1
85,3,3,6,23,1,,1,,1
86,3,3,6,24,1,,1,,1
87,3,3,6,25,1,,1,,1
88,3,3,7,26,2,,2,,1
89,3,3,7,27,2,,2,,1
90,3,3,7,28,2,,2,,1
91,3,3,7,29,2,,2,,1
92,3,3,7,30,2,,1,,1
93,3,3,7,31,1,,1,,1
